"","LANG","SALARY_USD.length","SALARY_USD.median","SALARY_USD.mean","SALARY_USD.sd"
"1","ABAP",7,25200,22842.8571428571,16868.101764658
"2","Android",2,11100,11100,424.264068711929
"3","Apex",3,11160,11370,2182.59020432146
"4","ASP",2,4350,4350,4879.03679018718
"5","Bash",1,6840,6840,NA
"6","C Sharp",198,12000,13336.1868686869,10424.3190343727
"7","C++",9,7500,9320,9558.37852357815
"8","Clojure",1,35280,35280,NA
"9","Cobol",11,12402,13605.8181818182,13696.886491595
"10","Delphi",8,11115,10936.875,6937.17364097224
"11","Depende",1,3600,3600,NA
"12","Elixir",5,108000,83300,39603.6614468915
"13","Erlang",4,16050,16545,6480.43979989013
"14","Flex",1,16965,16965,NA
"15","FoxPro",1,1597,1597,NA
"16","Genexus",1,4680,4680,NA
"17","Go",3,7200,8870,8420.13657846475
"18","Groovy",1,12000,12000,NA
"19","HTML/CSS",62,6450,7261.22580645161,6482.39588732275
"20","Java",310,11100,13086.4483870968,11693.0165174459
"21","JavaScript",226,9812.5,15494.092920354,18680.7330690145
"22","Ladder",1,6000,6000,NA
"23","Ninguno",4,14051.5,12440.75,8719.3212035112
"24","Objective-C",18,16690,22444.1666666667,19943.7805615745
"25","Objetive Pascal",1,5400,5400,NA
"26","Oracle",3,12240,12050,1732.83005514101
"27","Pascal",2,9885,9885,13343.1049609902
"28","Peoplesoft",1,16800,16800,NA
"29","Perl",1,13500,13500,NA
"30","PHP",219,7500,9371.73515981735,8785.66413519834
"31","PLSQL",26,9660,10051.9230769231,4893.04627342172
"32","PowerBuilder",4,9540,9532.5,7357.05273869911
"33","Python",36,8340,16249.3333333333,19674.0018370873
"34","RPG",1,9300,9300,NA
"35","Ruby",52,20500,32879.1730769231,32794.7811466955
"36","SAP",1,18000,18000,NA
"37","Scala",10,9102,9770.4,6658.46540878602
"38","Siebel",1,14400,14400,NA
"39","SQL",7,7500,7286.42857142857,5340.68247377751
"40","Swift",11,14400,15790.9090909091,9597.37719853237
"41","T SQL",1,15600,15600,NA
"42","T-SQL",4,13740,13181.25,6005.78939440936
"43","VB.Net",6,8505,14798,16413.085998678
"44","VB6",9,7500,8779.33333333333,7819.17932074716
"45","Visual Fox Pro",4,10596,13558,10732.5829137258
"46","X++",3,7200,10340,8062.43139505695
